电影名称,上映日期,豆瓣评分
一个叫欧维的男人决定去死 En man som heter Ove,2015,8.9
玩具总动员3 Toy Story 3,2010,8.9
幸福终点站 The Terminal,2005,8.8
小森林 冬春篇 リトル・フォレスト 冬・春,2015,9.0
色，戒,2007,8.7
被解救的姜戈 Django Unchained,2013,8.8
釜山行 부산행,2016,8.6
神偷奶爸 Despicable Me,2010,8.7
萤火之森 蛍火の杜へ,2011,8.8
九品芝麻官,1994,8.7
哪吒闹海,1979,9.2
告白,2010,8.8
喜宴 囍宴,1993,9.0
玛丽和马克思 Mary and Max,2009,9.0
模仿游戏 The Imitation Game,2015,8.8
头号玩家 Ready Player One,2018,8.6
花样年华 花樣年華,2000,8.8
大鱼 Big Fish,2003,8.8
七武士 七人の侍,1954,9.3
射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
惊魂记 Psycho,1960,9.0
血战钢锯岭 Hacksaw Ridge,2016,8.7
我是山姆 I Am Sam,2001,9.0
阳光姐妹淘 써니,2011,8.8
恐怖直播 더 테러 라이브,2013,8.7
你的名字。 君の名は。,2016,8.5
黑客帝国3：矩阵革命 The Matrix Revolutions,2003,8.8
"三块广告牌 Three Billboards Outside Ebbing, Missouri",2018,8.7
心迷宫,2015,8.8
电锯惊魂 Saw,2004,8.7
小丑 Joker,2019,8.7
达拉斯买家俱乐部 Dallas Buyers Club,2013,8.8
背靠背，脸对脸,1994,9.5
心灵奇旅 Soul,2020,8.7
疯狂原始人 The Croods,2013,8.7
谍影重重3 The Bourne Ultimatum,2007,8.8
绿里奇迹 The Green Mile,1999,8.9
上帝之城 Cidade de Deus,2002,9.0
爱在午夜降临前 Before Midnight,2013,8.9
海街日记 海街diary,2015,8.8
英雄本色,2017,8.6
风之谷 風の谷のナウシカ,1992,8.9
无间道2 無間道II,2003,8.8
疯狂的石头,2006,8.6
2001太空漫游 2001: A Space Odyssey,1968,8.9
纵横四海 緃横四海,1991,8.8
雨中曲 Singin' in the Rain,1952,9.1
卢旺达饭店 Hotel Rwanda,2004,8.9
记忆碎片 Memento,2000,8.7
小偷家族 万引き家族,2018,8.7
无敌破坏王 Wreck-It Ralph,2012,8.7
岁月神偷 歲月神偷,2010,8.7
冰川时代 Ice Age,2002,8.6
牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,8.9
荒蛮故事 Relatos salvajes,2024,8.8
忠犬八公物语 ハチ公物語,1987,9.2
恐怖游轮 Triangle,2009,8.5
东京教父 東京ゴッドファーザーズ,2003,9.0
爆裂鼓手 Whiplash,2024,8.6
末路狂花 Thelma & Louise,1991,9.0
魔女宅急便 魔女の宅急便,1989,8.7
大佛普拉斯,2017,8.7
遗愿清单 The Bucket List,2007,8.7
贫民窟的百万富翁 Slumdog Millionaire,2009,8.6
东邪西毒 東邪西毒,1994,8.6
高山下的花环,1984,9.5
你看起来好像很好吃 おまえうまそうだな,2010,8.9
源代码 Source Code,2011,8.5
可可西里,2004,8.9
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015,8.7
城市之光 City Lights,1931,9.3
海边的曼彻斯特 Manchester by the Sea,2017,8.6
波西米亚狂想曲 Bohemian Rhapsody,2019,8.6
黑天鹅 Black Swan,2010,8.6
芙蓉镇,1987,9.3
爱乐之城 La La Land,2017,8.4
真爱至上 Love Actually,2003,8.5
青蛇,1993,8.6
花束般的恋爱 花束みたいな恋をした,2022,8.6
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2012,8.5
雨人 Rain Man,1988,8.7
终结者2：审判日 Terminator 2: Judgment Day,1991,8.8
人工智能 A.I. Artificial Intelligence,2001,8.7
虎口脱险 La grande vadrouille,1966,8.9
无耻混蛋 Inglourious Basterds,2009,8.7
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,2010,8.6
新龙门客栈 新龍門客棧,2012,8.7
恋恋笔记本 The Notebook,2004,8.5
白日梦想家 The Secret Life of Walter Mitty,2013,8.6
崖上的波妞 崖の上のポニョ,2020,8.6
罗生门 羅生門,1950,8.8
千钧一发 Gattaca,1997,8.8
彗星来的那一夜 Coherence,2013,8.6
机器人之梦 Robot Dreams,2024,9.0
大红灯笼高高挂,1991,8.8
黑客帝国2：重装上阵 The Matrix Reloaded,2003,8.7
哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,2007,8.5
萤火虫之墓 火垂るの墓,1988,8.7
火星救援 The Martian,2015,8.5
奇迹男孩 Wonder,2018,8.6
二十二,2017,8.7
战争之王 Lord of War,2005,8.7
步履不停 歩いても 歩いても,2008,8.8
千年女优 千年女優,2001,8.8
血钻 Blood Diamond,2006,8.7
谍影重重2 The Bourne Supremacy,2004,8.7
房间 Room,2015,8.8
魂断蓝桥 Waterloo Bridge,1940,8.8
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,2018,8.6
弱点 The Blind Side,2009,8.7
谍影重重 The Bourne Identity,2002,8.6
隐藏人物 Hidden Figures,2016,8.9
朗读者 The Reader,2008,8.6
阿飞正传 阿飛正傳,2018,8.5
